"","fw101","fw000","fw102","fw103","fw104","fw105","fw106","fw107","fw108","fw109","fw110","fw111","fw112","fw113a","fw113b","fw113c","fw113d","fw113e","fw113f","fw113g","fw113h","fw113i","fw113x","fw113y","fw114","fw115","fw116","fw117","fw118"
"206",2302,"NG7",23,1,42,1,1,3,2,3,4,2,5,"A","B","","","","","","","","X","",96,2,1,1,1
"207",2303,"NG7",23,2,47,1,2,4,2,3,6,3,96,"A","B","","","","","","","","","",96,2,1,1,1
"208",2304,"NG7",15,2,29,2,6,0,2,3,4,1,96,"A","B","","","","","","","","X","",96,2,2,2,NA
"209",2305,"NG7",15,2,36,2,1,2,2,3,3,2,96,"A","","C","","","","","","","X","",96,2,1,1,1
"210",2306,"NG7",23,1,35,2,1,3,2,3,4,3,5,"A","B","","","","","","","","","",96,2,1,1,1
"211",2307,"NG7",23,2,49,1,1,3,2,3,4,3,83,"A","","","","","","","","","","",96,2,1,1,1
"212",2308,"NG7",23,2,38,1,1,3,1,3,5,2,10,"","","C","","","","","","","X","",3,2,2,2,NA
"213",2309,"NG7",23,1,36,2,1,4,2,3,4,2,5,"A","","","","","","","","","X","",96,2,1,2,NA
"214",2401,"NG7",24,1,42,2,1,4,2,3,4,3,10,"A","","C","","","","","","","","",3,1,1,1,1
"215",2402,"NG7",24,1,29,2,1,2,2,3,4,3,10,"A","B","C","","","","","","","","",3,2,1,1,1
"216",2403,"NG7",24,1,45,2,1,4,2,3,4,3,10,"A","","C","","","","","","","","",3,1,1,1,1
"217",2404,"NG7",25,1,25,2,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"218",2405,"NG7",24,2,37,1,1,3,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"219",2406,"NG7",15,1,37,1,1,3,2,3,4,3,10,"A","","C","","","","","","","","",3,2,1,1,1
"220",2407,"NG7",15,1,53,1,1,6,2,3,4,3,10,"A","","C","","","","","","","","",3,2,1,1,1
"221",2408,"NG7",24,1,25,2,6,0,2,3,5,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"222",2409,"NG7",24,1,50,2,3,4,2,3,7,2,10,"A","","C","","","","","","","","",3,2,1,2,NA
"223",2501,"NG7",25,1,35,2,1,2,2,3,5,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"224",2502,"NG7",31,1,26,2,6,0,2,3,6,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"225",2503,"NG7",25,1,43,2,1,2,2,3,4,2,10,"A","","C","","","","","","","","",3,2,1,1,1
"226",2504,"NG7",25,1,34,1,1,2,2,3,6,3,10,"A","","C","","","","","","","","",3,1,1,1,1
"227",2505,"NG7",4,1,28,2,6,0,2,3,4,2,5,"A","","","D","","","","","","X","",1,2,1,2,NA
"228",2506,"NG7",31,1,36,1,6,0,2,3,4,2,10,"A","","C","","","","","","","","",3,2,2,2,NA
"229",2507,"NG7",28,1,39,2,5,2,2,3,2,2,10,"A","","C","","","","","","","","",3,1,1,1,1
"230",2508,"NG7",25,1,43,1,1,1,2,3,5,2,10,"A","","C","","","","","","","","",3,1,1,1,1
